Year,State,aa_Diabetes_DeathRate,aa_HeartDisease_DeathRate,Diabetes_diagnosed,ERvisits,HospStays,InpatDays,Adult Overweight/Obesity Rate,Adults Reporting Fair or Poor Health Status
2013,Alabama,24.3,228.4,0.138,472,133,697,0.682,0.228
2013,Alaska,20.1,135,0.071,350,78,512,0.661,0.15
2013,Arizona,23.5,141.1,0.107,312,96,436,0.618,0.167
2013,Arkansas,24.2,214.1,0.115,486,119,614,0.699,0.241
2013,California,20.6,151.8,0.102,315,85,430,0.601,0.189
2013,Colorado,15,125.7,0.065,356,77,408,0.564,0.131
2013,Connecticut,14.8,148.9,0.083,452,109,596,0.625,0.132
2013,Delaware,19.4,168,0.111,477,113,582,0.646,0.173
2013,District of Columbia,17.9,213.5,0.078,746,205,1464,0.538,0.127
2013,Florida,19.2,149.8,0.112,431,123,617,0.628,0.195
2013,Georgia,23,178.7,0.108,422,95,604,0.657,0.191
2013,Hawaii,15.5,139,0.084,286,79,542,0.554,0.138
2013,Idaho,23.8,145.4,0.084,366,78,378,0.649,0.142
2013,Illinois,19.7,170.9,0.099,408,111,533,0.647,0.169
2013,Indiana,26.3,186.2,0.11,476,107,556,0.673,0.181
2013,Iowa,19,168.9,0.093,418,106,648,0.67,0.144
2013,Kansas,19.8,156.1,0.096,390,100,656,0.653,0.154
2013,Kentucky,24.1,203.4,0.106,519,132,689,0.673,0.233
2013,Louisiana,26.9,214.1,0.116,559,122,664,0.674,0.227
2013,Maine,20.4,152.3,0.096,599,105,589,0.648,0.149
2013,Maryland,19.1,172.7,0.098,429,106,534,0.641,0.15
2013,Massachusetts,14.1,141.5,0.085,481,118,625,0.58,0.138
2013,Michigan,23.8,199.8,0.104,493,117,597,0.662,0.177
2013,Minnesota,18.8,119.6,0.074,357,104,626,0.611,0.124
2013,Mississippi,32.9,240,0.129,600,127,835,0.693,0.244
2013,Missouri,20.5,194.7,0.096,494,129,672,0.655,0.184
2013,Montana,19.7,154.3,0.077,371,94,808,0.614,0.154
2013,Nebraska,21.7,147.9,0.092,371,107,715,0.655,0.139
2013,Nevada,14.8,195.1,0.096,333,91,496,0.649,0.172
2013,New Hampshire,18.7,148.9,0.092,529,90,475,0.618,0.126
2013,New Jersey,19.4,170.1,0.092,403,113,581,0.628,0.166
2013,New Mexico,27.6,147.1,0.107,397,80,370,0.627,0.208
2013,New York,17.8,184.8,0.106,438,119,811,0.613,0.181
2013,North Carolina,21.8,165.3,0.114,476,103,582,0.661,0.192
2013,North Dakota,22.3,150.7,0.089,454,131,911,0.676,0.147
2013,Ohio,25.4,187.9,0.104,560,126,616,0.651,0.181
2013,Oklahoma,29.9,228.5,0.11,486,107,577,0.679,0.206
2013,Oregon,23.4,135.1,0.092,356,86,370,0.599,0.174
2013,Pennsylvania,22.6,179,0.101,490,128,716,0.645,0.169
2013,Rhode Island,18.9,163.4,0.093,497,106,543,0.646,0.162
2013,South Carolina,22.5,180,0.125,330,104,600,0.665,0.197
2013,South Dakota,22.7,150.1,0.091,345,121,1106,0.67,0.126
2013,Tennessee,24.8,204.1,0.122,520,126,697,0.684,0.231
2013,Texas,21.6,170.7,0.109,393,95,498,0.661,0.192
