,Coordinates,Date,Location,Place,Query,ScreenName,Text,TweetId,UserId,Cat,State
0,,Sun Mar 17 19:32:29 +0000 2019,ts7 track 3,,Panerabread,staytaytxt,im aries and this is wrong sorry https://t.co/E6FQWLYchZ,1107364099342647296,1030156291002572800,healthy,probably not us
1,,Sun Mar 17 19:31:43 +0000 2019,"Houston, TX",,Panerabread,HymnOfDeath729,RT @evinonearth: Wow I love going to @panerabread and paying $15 for a sandwhich with nasty browning lettuce and soggy tomato ends. And chi…,1107363904324362242,844013935913320448,healthy,tx
2,,Sun Mar 17 19:31:30 +0000 2019,"Arcata, CA",,Panerabread,lore_1331,@panerabread https://t.co/khWN1krEaa,1107363851014533121,3183309714,healthy,ca
3,,Sun Mar 17 19:30:37 +0000 2019,"Grand Rapids, Michigan",,Panerabread,caljoones,RT @realstephenport: $45 per ounce ✔️ https://t.co/o3s0nkLBZc,1107363628364255235,2557679587,healthy,mi
4,,Sun Mar 17 19:29:05 +0000 2019,Nashville/Palm Beach,,Panerabread,HannahRHennessy,RT @jakemiller: Hey @panerabread can we please bring back the chipotle chicken sandwich plz plz plz,1107363244497350657,23492999,healthy,probably not us
5,,Sun Mar 17 19:27:52 +0000 2019,,,Panerabread,celestelrami,RT @panerabread: Here’s to hoping you find your pot of gold. #StPaddysDay https://t.co/KihkBvVGb7,1107362936035512320,1480953811,healthy,probably not us
6,,Sun Mar 17 19:27:11 +0000 2019,"Orlando, FL",,Panerabread,nat_ts13,fuck they are 100% correct https://t.co/r9pM8iqWAU,1107362764534755329,457924029,healthy,fl
7,,Sun Mar 17 19:25:44 +0000 2019,"Orlando, FL",,Panerabread,hallandoatesfan,@panerabread I support you @panerabread,1107362398762123265,1186996562,healthy,fl
8,,Sun Mar 17 19:23:16 +0000 2019,"Detroit, MI",,Panerabread,nikB__,"@panerabread, I love you guys but I’m really displeased that I got all the way home and there’s no bacon on my baco… https://t.co/ab6B8MkEhx",1107361778093174785,131362108,healthy,mi
9,,Sun Mar 17 19:22:56 +0000 2019,,,Panerabread,Lucas_MCFC_OK,RT @NotAIIen: Congrats on the social media manager promotion @4rDaSquaww https://t.co/Z3bcow3z2e,1107361695037640705,764967162809159680,healthy,probably not us
10,,Sun Mar 17 19:19:11 +0000 2019,"Orlando, FL",,Panerabread,hallandoatesfan,Anyone complaining about this is a big fuckin weenie https://t.co/woOnKOEnGQ,1107360750761320448,1186996562,healthy,fl
11,,Sun Mar 17 19:18:56 +0000 2019,,,Panerabread,NotAIIen,Congrats on the social media manager promotion @4rDaSquaww https://t.co/Z3bcow3z2e,1107360687863578624,922550870688063488,healthy,probably not us
12,,Sun Mar 17 19:18:20 +0000 2019,"Oceanside, CA",,Panerabread,nickimaccc,Omg this are the two things I order at Panera. I never though to put them together. Genius https://t.co/t1rnrO2F3H,1107360538583916544,28224148,healthy,ca
13,,Sun Mar 17 19:17:58 +0000 2019,"New Jersey, USA",,Panerabread,Jaymfbee,@natallialoves @panerabread Buccccaaaasss,1107360445424435201,949668387164180480,healthy,nj
14,,Sun Mar 17 19:17:43 +0000 2019,"Charlotte, NC",,Panerabread,realstephenport,$45 per ounce ✔️ https://t.co/o3s0nkLBZc,1107360382874726406,250273606,healthy,nc
15,,Sun Mar 17 19:17:08 +0000 2019,"Kansas, USA",,Panerabread,Mama_Bear_Sarah,@panerabread https://t.co/IG3l0OvWCN,1107360233226227725,23032282,healthy,ks
16,,Sun Mar 17 19:14:08 +0000 2019,"evadale, tx",,Panerabread,alexis3michelle,RT @DanceMarathonLU: Refuel after St.Patricks Day and join us @panerabread  for some delicious food. Help change a kids life one bite at a…,1107359478515728384,2871702192,healthy,tx
17,,Sun Mar 17 19:12:16 +0000 2019,,,Panerabread,CivConCommander,"@panerabread Nope fucked it, i don give a shit about 10 veg soup. Oh well cant always be right",1107359008497664000,1029069182099279873,healthy,probably not us
